ts_code,symbol,name,area,industry,list_date
600000.SH,600000,浦发银行,上海,银行,19991110
600028.SH,600028,中国石化,北京,石油加工,20010808
600030.SH,600030,中信证券,深圳,证券,20030106
600031.SH,600031,三一重工,北京,工程机械,20030703
600036.SH,600036,招商银行,深圳,银行,20020409
600048.SH,600048,保利发展,广东,全国地产,20060731
600050.SH,600050,中国联通,北京,电信运营,20021009
600104.SH,600104,上汽集团,上海,汽车整车,19971125
600196.SH,600196,复星医药,上海,化学制药,19980807
600276.SH,600276,恒瑞医药,江苏,化学制药,20001018
600309.SH,600309,万华化学,山东,化工原料,20010105
600436.SH,600436,片仔癀,福建,中成药,20030616
600438.SH,600438,通威股份,四川,电气设备,20040302
600519.SH,600519,贵州茅台,贵州,白酒,20010827
600547.SH,600547,山东黄金,山东,黄金,20030828
600570.SH,600570,恒生电子,浙江,软件服务,20031216
600585.SH,600585,海螺水泥,安徽,水泥,20020207
600588.SH,600588,用友网络,北京,软件服务,20010518
600690.SH,600690,海尔智家,山东,家用电器,19931119
600745.SH,600745,闻泰科技,湖北,通信设备,19960828
600809.SH,600809,山西汾酒,山西,白酒,19940106
600837.SH,600837,海通证券,上海,证券,19940224
600887.SH,600887,伊利股份,内蒙,乳制品,19960312
600893.SH,600893,航发动力,陕西,航空,19960408
600900.SH,600900,长江电力,北京,水力发电,20031118
601012.SH,601012,隆基股份,陕西,电气设备,20120411
601066.SH,601066,中信建投,北京,证券,20180620
601088.SH,601088,中国神华,北京,煤炭开采,20071009
601138.SH,601138,工业富联,深圳,通信设备,20180608
601166.SH,601166,兴业银行,福建,银行,20070205
601211.SH,601211,国泰君安,上海,证券,20150626
601288.SH,601288,农业银行,北京,银行,20100715
601318.SH,601318,中国平安,深圳,保险,20070301
601336.SH,601336,新华保险,北京,保险,20111216
601398.SH,601398,工商银行,北京,银行,20061027
601601.SH,601601,中国太保,上海,保险,20071225
601628.SH,601628,中国人寿,北京,保险,20070109
601633.SH,601633,长城汽车,河北,汽车整车,20110928
601668.SH,601668,中国建筑,北京,建筑工程,20090729
601688.SH,601688,华泰证券,江苏,证券,20100226
601728.SH,601728,中国电信,北京,电信运营,20210820
601857.SH,601857,中国石油,北京,石油开采,20071105
601888.SH,601888,中国中免,北京,旅游服务,20091015
601899.SH,601899,紫金矿业,福建,黄金,20080425
601919.SH,601919,中远海控,天津,水运,20070626
601995.SH,601995,中金公司,北京,证券,20201102
603259.SH,603259,药明康德,江苏,化学制药,20180508
603288.SH,603288,海天味业,广东,食品,20140211
603501.SH,603501,韦尔股份,上海,半导体,20170504
603986.SH,603986,兆易创新,北京,半导体,20160818
